Latitude,Longitude,Density
35.35828873243943,-111.29638911958257,76
35.48320391569127,-111.50205912028488,83
35.38178986614618,-111.31324028930983,97
35.40105002764083,-111.13123631809918,84
35.83498009896398,-111.38927025169129,39
35.40650633308964,-111.60662983655335,74
35.377552493484124,-111.4060936737712,94
35.405933089447025,-111.76051978460548,80
35.501703888170105,-111.47709941409025,94
35.67935385874309,-111.6365769081402,87
35.23448484742077,-111.75160468325797,5
35.28185683537627,-111.65289709038795,93
35.39629740662598,-111.73396113243922,99
35.61923358135409,-111.42391113342244,97
35.40264182018533,-111.3305405748619,50
35.44527227638604,-111.5177359082737,93
35.31214859829551,-111.378071385865,93
35.41240146668555,-111.36434507121069,98
35.728829017714645,-111.68388021839759,89
35.50157929277123,-111.23488694163343,91
35.39507361449998,-111.33413739207013,65
35.7945061376894,-111.37109161316823,88
35.577633633831645,-111.53715625609853,87
35.407825357136915,-111.30737821449102,81
35.3083770550641,-111.62939169764857,98
35.346938070941405,-111.47464633575089,88
35.33506528018332,-111.40083104152342,71
35.27561299933907,-111.48640717990511,81
35.91731937136017,-111.52278253503212,58
35.46199004443381,-111.7146016703439,24
35.37197826577986,-111.4207740359476,49
35.580584562498885,-111.69649844950087,94
35.19831254578096,-111.74652539648216,64
35.445162444200115,-111.25610915167518,95
35.36033915181307,-111.3860252525504,66
35.25098320381373,-111.391932945992,72
35.60437822989488,-111.55908103312159,84
35.67480665538987,-111.59992091330822,49
35.20886411895821,-111.59167623407514,87
35.251197017100814,-111.3752725707131,87
35.47551027399238,-111.71688916961178,40
35.18124615171867,-111.72826324151423,86
35.21282469118657,-111.38796465402399,98
35.25716629104666,-111.26216612515572,65
35.266628888364146,-111.38162138626147,69
35.55631843844886,-111.58289929160436,88
35.511099283550905,-111.60056574192193,96
35.74937088354931,-111.484419693627,83
35.2754175150504,-111.64668748617267,61
35.61676566525939,-111.40870048552455,75
35.46202269299438,-111.48256821427718,79
35.65918547086048,-111.64610651584138,91
35.21624137207569,-111.75604025441844,83
35.79797729247099,-111.35998758377981,75
35.581893651185744,-111.60124011927591,40
35.69095636141756,-111.46506977311607,99
35.34310680288745,-111.38328210368657,99
35.42253799287379,-111.29603074280818,35
35.58479983057912,-111.53609262900648,97
35.61853708064415,-111.67960093260827,93
35.55828079325687,-111.40097704358388,56
35.62487889533789,-111.59395239861709,99
35.43359586745512,-111.40641597448791,88
35.249986224558725,-111.6876470128976,99
35.60865056526601,-111.37938217559027,40
35.696419370195095,-111.65397894225703,35
35.325729794558654,-111.40735430814225,16
35.46758077156105,-111.71469970647553,80
35.270152594066914,-111.37994415630982,93
35.67877603144002,-111.47134341756403,55
35.255882706626764,-111.37230111498215,59
35.61267312912446,-111.54990150067715,99
35.26514458191894,-111.47923177238027,81
35.21418611620382,-111.46800896067595,91
35.6295196340324,-111.55171380288914,98
35.378879542060744,-111.16640444920665,90
35.452474948599004,-111.27114880001545,79
35.42785366342084,-111.3876745238705,75
35.324129205678226,-111.39087590150785,80
35.402240316345235,-111.35492980277661,64
35.83281097507614,-111.2567231658817,89
35.343495112483176,-111.79504698675323,83
35.44447901954181,-111.22336145644304,91
35.457375609740254,-111.55930663334716,91
35.20678054846024,-111.23046378352349,58
35.75148419374958,-111.45743204340832,14
35.45946733002657,-111.3753139950229,96
35.29151934148959,-111.37937181984252,88
35.788672646432474,-111.77767505367592,83
35.242206996366185,-111.27019800480102,99
35.34873403483795,-111.3599999422955,87
35.33728582292212,-111.3208687238866,82
35.259007398660515,-111.65181918429633,79
35.26559682334667,-111.41651684727967,77
